,Datetime,Tweet Id,Text,Username,Media
13,2021-05-02 13:05:03+00:00,1388841967883145220,Health Minister @Visrane Vishwajit Rane meets GARD members; agrees to solve their issues including security to the resident doctors; Rane appealed people not to get hyper on  doctors as everyone is overworking. https://t.co/QFsUL4WmU0,goanewshub,
14,2021-05-02 12:57:20+00:00,1388840028537868289,"Why on the Earth is CM so against Goans, questions Rohan Khaunte https://t.co/Tjpp833hAg via @@goanewshub",goanewshub,
15,2021-05-02 12:48:29+00:00,1388837798178967557,Chief Minister @DrPramodPSawant visited the Oxygen Production Plant Cuncolim today. CM held a review meeting at the site to ensure continuous supply of medical oxygen to various hospitals in the area https://t.co/Yz7Mao1XzX,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0YknbkVoAAyPj3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0YknbkVoAAyPj3?format=jpg&name=large', type='photo')]"
16,2021-05-02 12:38:45+00:00,1388835352274681857,"Goa Association of Resident Doctors (GARD) has complained to the Dean that on the day when the oxygen supply of various covid wards in GMC was disturbed and all the respective residents messaged about the same to the Nodal Officer, he ignore them conveniently. https://t.co/DXHrArcnXu",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0YiZFmUYAA3E5D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0YiZFmUYAA3E5D?format=jpg&name=large', type='photo')]"
17,2021-05-02 11:59:36+00:00,1388825496297877504,"The plan of opening up of new covid facilities is announced every day; however there are no announcements on recruitment of new staff or doctors. Are we supposed to manage these additional facilities too in addition to SGDH,ESI &amp; GMC?: GARD to Dean GMCH",goanewshub,
18,2021-05-02 11:57:38+00:00,1388825000954761219,"get them admitted fast, even if many times, they don’t require admission: GARD to Dean #GMCH",goanewshub,
19,2021-05-02 11:57:37+00:00,1388824998928916480,"Even in these times of pandemic, VIP culture is still very much prevalent. Residents in covid casualty who are managing more than 30 new patients at a time are told to see these ""VIP"" patients on a preferential basis,",goanewshub,
20,2021-05-02 11:54:46+00:00,1388824282361368578,"In the middle of the night when oxygen gets over, and patients worsen and sometimes die, it's the junior doctor on duty who has to face angry relatives. And their anger about lack of facilities gets taken out on the duty residents: GARD",goanewshub,
21,2021-05-02 11:54:04+00:00,1388824107270254592,why our patient is kept on trolleys/wheelchairs/floor and why is our patient not getting oxygen: GARD,goanewshub,
22,2021-05-02 11:54:04+00:00,1388824104766111747,"On a daily basis, we read in the news all the higher authorities giving statements that there is no issue of oxygen and beds. The family members of the patients then ask the resident doctors that, if there is no lack of beds,",goanewshub,
23,2021-05-02 11:47:14+00:00,1388822385357426692,"Shocking : GMC doctors admit that there is Oxygen shortage in the hospital, dashes letter to the Dean https://t.co/RN0xoBMSwc via @@goanewshub",goanewshub,
24,2021-05-02 11:44:07+00:00,1388821602150793218,"Goa to lift lockdown from Monday, COVID-19 restrictions to continue https://t.co/kImpFsdhye via @@goanewshub",goanewshub,
25,2021-05-02 11:16:24+00:00,1388814628088516608,#BREAKING: Lockdown will not continue but covid-19 restrictions will be strictly followed in the state:@DrPramodPSawant https://t.co/m0HIQaZuqr,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0YPizSWQAERuEa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0YPizSWQAERuEa?format=jpg&name=large', type='photo')]"
26,2021-05-02 11:15:16+00:00,1388814341521113088,"🔴LIVE address of CM Dr. Pramod Sawant
https://t.co/AQZ7F09eyd",goanewshub,
27,2021-05-02 11:00:44+00:00,1388810682447982597,Resident doctors exposes worst situation in #GMC #Covid wards. The oxygen supply in various covid wards is not even close to sufficient. The central oxygen flow delivers very low flow oxygen at times and that is inadequate to keep NIVs and ventilators working effectively: GARD,goanewshub,
28,2021-05-02 10:53:09+00:00,1388808775167995905,"Goa Association of Resident Doctors write to GMC Dean complaining about the lack of oxygen supply. "" these issues need to be addressed soon otherwise something disastrous may happen"" : President of G.A.R.D. Dr Pratik Sawant https://t.co/R8dxl4KXI3",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0YKNVxXEAwA9Kd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0YKNVxXEAwA9Kd?format=jpg&name=large', type='photo')]"
29,2021-05-02 10:16:21+00:00,1388799513121333256,Hon'ble Chief Minister @DrPramodPSawant will go live on social media today at 04:15 PM. https://t.co/JRHjFwH7jf,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0YBy8qVkAEjANL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0YBy8qVkAEjANL?format=jpg&name=large', type='photo')]"
30,2021-05-02 09:41:01+00:00,1388790621364621312,"The District Magistrate, North has declared following areas in Canca as Micro-Containment zones: Nr. Narayan temple Canca Bandh.",goanewshub,
