,Datetime,Tweet Id,Text,Username,Media
14,2021-02-26 09:49:31+00:00,1365237550768558080,"Panjim Mayor's last day in office today says ""Proud there were no allegation on me during my tenure""
WATCH : https://t.co/2xGzuUKHEK

#Goa #GoanEws #Panjim #Mayor https://t.co/SYaSHvozNb",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EvJMTm0VoAQM4KJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EvJMTm0VoAQM4KJ?format=jpg&name=large', type='photo')]"
15,2021-02-26 09:33:49+00:00,1365233600610795521,"Excise seize alcohol bottles worth Rs. 8.29 lakh concealed behind crates of fish. Driver flees abandoning the vehicle at #Mollem checkpost

#Goa #GoaNews #Alcohol https://t.co/hC9zTDeJm7",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EvJIt9bVcAQGhvd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EvJIt9bVcAQGhvd?format=jpg&name=large', type='photo')]"
16,2021-02-26 09:30:11+00:00,1365232683148664832,"Where are the CCTV camera worth 180 crores in #Panjim? Mayor says 60 crore already paid to them
WATCH: https://t.co/nz0SxNoSE1

#Goa #GoaNews https://t.co/Tweebp3CRj",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EvJH4hJU4AM5Nyu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EvJH4hJU4AM5Nyu?format=jpg&name=large', type='photo')]"
17,2021-02-26 09:28:38+00:00,1365232294764572672,"#ArvindKejriwal | ""Our 27 To Their 93, But..."": Arvind Kejriwal's Message To @BJP4India  In Surat
WATCH: https://t.co/oI2AvjeD3Z

#Goa #GoaNews https://t.co/p50bBPARBp",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EvJHhhLVoAUcm_r?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EvJHhhLVoAUcm_r?format=jpg&name=large', type='photo')]"
18,2021-02-26 09:27:22+00:00,1365231977821954052,"#BreakingNews | Speaker  to hear disqualification petition after lunch, @girishgoa  says ready to wait till late night
WATCH: https://t.co/xIIbEKouiy

#Goa #GoaNews https://t.co/qy1WiTcBYe",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EvJHJOpUYAMRcY-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EvJHJOpUYAMRcY-?format=jpg&name=large', type='photo')]"
19,2021-02-18 13:19:09+00:00,1362391201991843840,#BreakingNews | Yogesh Govekar aka Migambo arrested by police for allegedly assaulting @GOAMILES1 driver https://t.co/tMBGlihycR,InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EugvkxVXUAYZvDg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EugvkxVXUAYZvDg?format=jpg&name=large', type='photo')]"
20,2021-02-06 03:35:32+00:00,1357895677808939010,#BreakingNews | Three @GOAMILES1 taxi drivers seriously injured at Calangute. GoaMiles drivers were assaulted using hockey sticks and cricket bats. Yogesh aka ‘Migambo’ absconding https://t.co/hDjsVY7VTw,InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/Etg26mnXYAIZnyM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Etg26mnXYAIZnyM?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/Etg26moXcAAAC8N?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Etg26moXcAAAC8N?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/Etg26mwXIAAvq9v?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Etg26mwXIAAvq9v?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/Etg26mtXcAARM9b?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Etg26mtXcAARM9b?format=jpg&name=large', type='photo')]"
21,2021-01-27 14:45:30+00:00,1354440401831116801,"#Tillari canal breach: Who is responsible? Fields flooded
WATCH: https://t.co/PpTLXKqqEA

#Goa #GoaNews https://t.co/38HcOEscsn",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EsvwXEyU4A4LXxS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EsvwXEyU4A4LXxS?format=jpg&name=large', type='photo')]"
22,2021-01-27 14:22:33+00:00,1354434623317577736,"#Disqualification | Speaker deliberately sitting on disqualification petition of 10 turncoat MLAs?
WATCH: https://t.co/t5fIBCg3U7

#Goa #GoaNews https://t.co/S4MNPlUqLt",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EsvrGNYVoAMI7sV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EsvrGNYVoAMI7sV?format=jpg&name=large', type='photo')]"
23,2021-01-27 14:21:27+00:00,1354434346464120838,"#CovidVaccine | @PresidentGFP calls COVID vaccine a farce, Churchill Alemao gives a befitting reply! 
WATCH: https://t.co/QxifMLSqcY

#Goa #GoaNews https://t.co/NcBuR97vlP",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/Esvq1-rU4AM7FOu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Esvq1-rU4AM7FOu?format=jpg&name=large', type='photo')]"
24,2021-01-27 14:18:57+00:00,1354433719189205006,"Don't take tension of #Mandrem, दयानंद सोपटेक कापस्ताद आसा! : @DayanandSopte , @PresidentGFP exchange sharp words
WATCH: https://t.co/rFqKA03Hw7

#Goa #GoaNews https://t.co/MQ1sIgbgKu",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EsvqRtlU4AoRNCI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EsvqRtlU4AoRNCI?format=jpg&name=large', type='photo')]"
25,2021-01-25 13:45:36+00:00,1353700551393906688,"#GoaMilesVsTouristTaxi |  @GOAMILES1 MD gives befitting reply to @MichaelLobo76, says will go to court if GoaMiles is scrapped
WATCH: https://t.co/MeeCScULvZ

#Goa #GoaNews https://t.co/tUJQ3CTLdt",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EslPWE9VEAA1mY0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EslPWE9VEAA1mY0?format=jpg&name=large', type='photo')]"
26,2021-01-19 06:57:25+00:00,1351423502050463745,"#ShripadNaik | @shripadynaik gives message to everyone from @GoaGmc WATCH
https://t.co/Z45TIM5er6

#Goa #GoaNews #Accident https://t.co/RAOlyo7Qo9",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/EsE4gjgVEAE6Mvq?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EsE4gjgVEAE6Mvq?format=png&name=large', type='photo')]"
27,2021-01-15 08:53:00+00:00,1350003036278538240,"#VishwajitRane | ""If I had 8 lakh sqmts land, I would have donated free to IIT""
WATCH: https://t.co/bUb49KoREQ

#Goa #GoaNews @visrane https://t.co/fv5g6237tT",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/ErwsmFiVoAI7PBP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErwsmFiVoAI7PBP?format=jpg&name=large', type='photo')]"
28,2021-01-15 07:42:40+00:00,1349985338341482497,"#BreakingNews | CM @DrPramodPSawant scraps IIT project in Melauli-Sattari 
WATCH- https://t.co/yFLYX2OPwy

#Goa #GoaNews @visrane #IIT https://t.co/YuXDCKnGYx",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/ErwcfGJVQAIeiFf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErwcfGJVQAIeiFf?format=jpg&name=large', type='photo')]"
29,2021-01-06 07:51:52+00:00,1346726162907746306,"#BreakingNews | Anit IIT protest turns violent in Melauli, Protestors Hurl stones at police at least 10 police injured https://t.co/VSAFwePR25",InGoa24x7,"[Photo(previewUrl='https://pbs.twimg.com/media/ErCITYqW8AIn4EN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErCITYqW8AIn4EN?format=jpg&name=large', type='photo')]"
